Title,Link,Abstract,PublishedDate,MoreInfoLink,lemmas_title,lemmas_abstract
Treatments and vaccines for COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines-covid-19,"EMA and the European Network of Centres for Pharmacoepidemiology and Pharmacovigilance (ENCePP) encouraged all researchers to register their pharmacoepidemiological studies related to the COVID-19 pandemic in the EU PAS Register. They should also upload and make their study protocols public, with a description of the data collected or planned to be collected. This is to facilitate collaborations and speed up the design of observational studies by others. Researchers should include ‘COVID-19’ in the study title to allow easy retrieval of all COVID-19-related studies via the ‘Title of Study’ search filter.",27 March, ,"['Treatments', 'vaccines', 'COVID-19']","['EMA', 'European', 'Network', 'Centres', 'Pharmacoepidemiology', 'Pharmacovigilance', '(ENCePP)', 'encourage', 'researchers', 'register', 'pharmacoepidemiological', 'study', 'relate', 'COVID-19', 'pandemic', 'EU', 'PAS', 'Register.', 'They', 'also', 'upload', 'make', 'study', 'protocols', 'public,', 'description', 'data', 'collect', 'plan', 'collected.', 'This', 'facilitate', 'collaborations', 'speed', 'design', 'observational', 'study', 'others.', 'Researchers', 'include', '‘COVID-19’', 'study', 'title', 'allow', 'easy', 'retrieval', 'COVID-19-related', 'study', 'via', '‘Title', 'Study’', 'search', 'filter.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,EMA published guidance on the actions that sponsors of ongoing clinical trials affected by the COVID-19 pandemic should take to help ensure the integrity of their studies and the interpretation of study results while safeguarding the safety of trial participants as a first priority. This complements the good clinical practice guidance on how sponsors should adjust the management of clinical trials and participants during the pandemic.,25 March, ,"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['EMA', 'publish', 'guidance', 'action', 'sponsor', 'ongoing', 'clinical', 'trials', 'affect', 'COVID-19', 'pandemic', 'take', 'help', 'ensure', 'integrity', 'study', 'interpretation', 'study', 'result', 'safeguard', 'safety', 'trial', 'participants', 'first', 'priority.', 'This', 'complement', 'good', 'clinical', 'practice', 'guidance', 'sponsor', 'adjust', 'management', 'clinical', 'trials', 'participants', 'pandemic.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,The International Coalition of Medicines Regulatory Authorities published a summary report of the first global regulatory workshop on COVID-19 vaccine development which was co-chaired by EMA. The report focuses on pre-clinical data requirements and the theoretical risk that vaccines against COVID-19 enhance the disease prior to starting first-in-human clinical trials.,24 March,Global regulators map out data requirements for phase 1 COVID-19 vaccine trials (14/03/22020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['The', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', 'publish', 'summary', 'report', 'first', 'global', 'regulatory', 'workshop', 'COVID-19', 'vaccine', 'development', 'co-chaired', 'EMA.', 'The', 'report', 'focus', 'pre-clinical', 'data', 'requirements', 'theoretical', 'risk', 'vaccines', 'COVID-19', 'enhance', 'disease', 'prior', 'start', 'first-in-human', 'clinical', 'trials.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"Some Member States are experiencing medicine shortages due to an increased demand for some medicines. This is either because the medicines are used to treat COVID-19 patients or because patients are requesting more than their usual supplies. In order to prevent unnecessary strain on supply chains, patients should only receive their usual supply of medicines. For information on ongoing medicine shortages in the EU, patients and healthcare professionals can check the relevant national shortages registers and EMA's shortages catalogue.",24 March, ,"['Availability', 'medicine', 'COVID-19', 'pandemic']","['Some', 'Member', 'States', 'experience', 'medicine', 'shortages', 'due', 'increase', 'demand', 'medicines.', 'This', 'either', 'medicine', 'use', 'treat', 'COVID-19', 'patients', 'patients', 'request', 'usual', 'supplies.', 'In', 'order', 'prevent', 'unnecessary', 'strain', 'supply', 'chains,', 'patients', 'receive', 'usual', 'supply', 'medicines.', 'For', 'information', 'ongoing', 'medicine', 'shortages', 'EU,', 'patients', 'healthcare', 'professionals', 'check', 'relevant', 'national', 'shortages', 'register', ""EMA's"", 'shortages', 'catalogue.']"
Buying medicines online,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/falsified-medicines/buying-medicines-online,EMA urged patients to beware of potential falsified medicines sold by unregistered websites and vendors. These vendors may be exploiting fears during the COVID-19 pandemic and claiming that their products can prevent or cure COVID-19. They may also appear to provide easy access to medicines that are otherwise not readily available. Patients can stay safe when buying medicines online by following EU advice.,24 March,COVID-19: Beware of falsified medicines from unregistered websites (24/03/2020),"['Buying', 'medicine', 'online']","['EMA', 'urge', 'patients', 'beware', 'potential', 'falsify', 'medicine', 'sell', 'unregistered', 'websites', 'vendors.', 'These', 'vendors', 'may', 'exploit', 'fear', 'COVID-19', 'pandemic', 'claim', 'products', 'prevent', 'cure', 'COVID-19.', 'They', 'may', 'also', 'appear', 'provide', 'easy', 'access', 'medicine', 'otherwise', 'readily', 'available.', 'Patients', 'stay', 'safe', 'buy', 'medicine', 'online', 'follow', 'EU', 'advice.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"The European Commission, EMA and the Head of Medicines Agencies provided guidance for sponsors on how they should adjust the management of clinical trials and participants during the COVID-19 pandemic. It covers how to deal with the extraordinary situations the pandemic presents and includes specific advice on clinical trials for COVID-19 treatments.",20 March,Guidance to sponsors on how to manage clinical trials during the COVID-19 pandemic (20/03/2020),"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['The', 'European', 'Commission,', 'EMA', 'Head', 'Medicines', 'Agencies', 'provide', 'guidance', 'sponsor', 'adjust', 'management', 'clinical', 'trials', 'participants', 'COVID-19', 'pandemic.', 'It', 'cover', 'deal', 'extraordinary', 'situations', 'pandemic', 'present', 'include', 'specific', 'advice', 'clinical', 'trials', 'COVID-19', 'treatments.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA’s first Management Board meeting of 2020 took place virtually and was reduced to one and a half hours to allow EMA and the Member States to continue to focus resources on the response to the pandemic.,20 March,EMA Management Board – highlights of March 2020 meeting (20/03/2020),"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA’s', 'first', 'Management', 'Board', 'meet', '2020', 'take', 'place', 'virtually', 'reduce', 'one', 'half', 'hours', 'allow', 'EMA', 'Member', 'States', 'continue', 'focus', 'resources', 'response', 'pandemic.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,EMA's Committee for Medicinal Products for Human Use (CHMP) urged the EU research community to prioritise large randomised controlled clinical studies as these are most likely to generate the conclusive evidence needed to enable rapid development and approval of potential COVID-19 treatments. They also emphasised the need to include all EU countries in these trials. EMA is currently engaging with stakeholders who can further support the conduct of clinical trials across Europe.,19 March,"Call to pool research resources into large multi-centre, multi-arm clinical trials to generate sound evidence on COVID-19 treatments  (19/03/2020)","['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","[""EMA's"", 'Committee', 'Medicinal', 'Products', 'Human', 'Use', '(CHMP)', 'urge', 'EU', 'research', 'community', 'prioritise', 'large', 'randomise', 'control', 'clinical', 'study', 'likely', 'generate', 'conclusive', 'evidence', 'need', 'enable', 'rapid', 'development', 'approval', 'potential', 'COVID-19', 'treatments.', 'They', 'also', 'emphasise', 'need', 'include', 'EU', 'countries', 'trials.', 'EMA', 'currently', 'engage', 'stakeholders', 'support', 'conduct', 'clinical', 'trials', 'across', 'Europe.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"The first global regulatory workshop on COVID-19 was convened under the umbrella of the International Coalition of Medicines Regulatory Authorities. Co-chaired by EMA and the US Food and Drug Administration, it brought together delegates from 17 countries and experts from the World Health Organization and the European Commission to discuss the development of vaccines against COVID-19.",18 March,First regulatory workshop on COVID-19 facilitates global collaboration on vaccine development (18/03/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['The', 'first', 'global', 'regulatory', 'workshop', 'COVID-19', 'convene', 'umbrella', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities.', 'Co-chaired', 'EMA', 'US', 'Food', 'Drug', 'Administration,', 'bring', 'together', 'delegate', '17', 'countries', 'experts', 'World', 'Health', 'Organization', 'European', 'Commission', 'discuss', 'development', 'vaccines', 'COVID-19.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA advised patients and healthcare professionals that there currently no scientific evidence establishing a link between ibuprofen and worsening of COVID 19. However, EMA calls for further studies, which it is ready to support. Patients and healthcare professionals should consider all available options for treating coronavirus symptoms, including paracetamol and NSAIDs, in line with the product information and national guidelines.",18 March,EMA gives advice on the use of non-steroidal anti-inflammatories for COVID-19 (18/03/2020),"['Public-health', 'advice', 'COVID-19', 'pandemic']","['EMA', 'advise', 'patients', 'healthcare', 'professionals', 'currently', 'scientific', 'evidence', 'establish', 'link', 'ibuprofen', 'worsen', 'COVID', '19.', 'However,', 'EMA', 'call', 'studies,', 'ready', 'support.', 'Patients', 'healthcare', 'professionals', 'consider', 'available', 'options', 'treat', 'coronavirus', 'symptoms,', 'include', 'paracetamol', 'NSAIDs,', 'line', 'product', 'information', 'national', 'guidelines.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"EMA announced that it will participate as observer in the European Commission's advisory panel on COVID-19. Chaired by Commission President Ursula von der Leyen and co-chaired by Stella Kyriakides, Commissioner for Health and Food Safety, the panel of European scientific experts will formulate EU guidelines for science-based and coordinated risk-management measures.",18 March, ,"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'announce', 'participate', 'observer', 'European', ""Commission's"", 'advisory', 'panel', 'COVID-19.', 'Chaired', 'Commission', 'President', 'Ursula', 'von', 'der', 'Leyen', 'co-chaired', 'Stella', 'Kyriakides,', 'Commissioner', 'Health', 'Food', 'Safety,', 'panel', 'European', 'scientific', 'experts', 'formulate', 'EU', 'guidelines', 'science-based', 'coordinate', 'risk-management', 'measures.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"As of 16 March 2020, most EMA staff are working remotely. This is expected to last until the end of April 2020.",17 March, ,"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['As', '16', 'March', '2020,', 'EMA', 'staff', 'work', 'remotely.', 'This', 'expect', 'last', 'end', 'April', '2020.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA provides full fee waivers for scientific advice for potential vaccines and treatments for COVID-19. Developers of potential therapeutics or vaccines against COVID-19 are invited to contact the Agency as soon as possible with information about their proposed development, by emailing 2019-ncov@ema.europa.eu.",13 March,COVID-19: developers of medicines or vaccines to benefit from free scientific advice (13/03/2020),"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['EMA', 'provide', 'full', 'fee', 'waivers', 'scientific', 'advice', 'potential', 'vaccines', 'treatments', 'COVID-19.', 'Developers', 'potential', 'therapeutics', 'vaccines', 'COVID-19', 'invite', 'contact', 'Agency', 'soon', 'possible', 'information', 'propose', 'development,', 'email', '2019-ncov@ema.europa.eu.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that is holding all its committee and working party meetings virtually until the end of April 2020. Other EMA-hosted stakeholder events will either be held virtually or postponed until later in 2020. EMA has also initiated its business continuity plan for the effective management of the COVID-19 crisis. These measures do not impact EMA’s core activities.,11 March,COVID-19: EMA meetings with delegates and experts will be held virtually until end April 2020 (11/03/2020),"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'announce', 'hold', 'committee', 'work', 'party', 'meet', 'virtually', 'end', 'April', '2020.', 'Other', 'EMA-hosted', 'stakeholder', 'events', 'either', 'hold', 'virtually', 'postpone', 'later', '2020.', 'EMA', 'also', 'initiate', 'business', 'continuity', 'plan', 'effective', 'management', 'COVID-19', 'crisis.', 'These', 'measure', 'impact', 'EMA’s', 'core', 'activities.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"The European medicines regulatory network has taken measures to monitor the potential impact of the outbreak of COVID-19 on human and veterinary medicine supply chains in the EU. This includes working with pharmaceutical industry associations, companies and manufacturers in the EU to assess the resilience of supply chains.",10 March,Addressing the potential impact of novel coronavirus disease (COVID-19) on medicines supply in the EU (10/03/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['The', 'European', 'medicine', 'regulatory', 'network', 'take', 'measure', 'monitor', 'potential', 'impact', 'outbreak', 'COVID-19', 'human', 'veterinary', 'medicine', 'supply', 'chain', 'EU.', 'This', 'include', 'work', 'pharmaceutical', 'industry', 'associations,', 'company', 'manufacturers', 'EU', 'assess', 'resilience', 'supply', 'chains.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA encouraged developers of potential vaccines or treatments for novel coronavirus disease (COVID-19) to make use of the Agency's regulatory mechanisms to speed up development and approval and to contact EMA as soon as possible to discuss their strategy for evidence-generation, by emailing 2019-ncov@ema.europa.eu. EMA has activated its plan for managing emerging health threats.",4 February,EMA to support development of vaccines and treatments for novel coronavirus disease (COVID-19)  (04/02/2020),"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['EMA', 'encourage', 'developers', 'potential', 'vaccines', 'treatments', 'novel', 'coronavirus', 'disease', '(COVID-19)', 'make', 'use', ""Agency's"", 'regulatory', 'mechanisms', 'speed', 'development', 'approval', 'contact', 'EMA', 'soon', 'possible', 'discuss', 'strategy', 'evidence-generation,', 'email', '2019-ncov@ema.europa.eu.', 'EMA', 'activate', 'plan', 'manage', 'emerge', 'health', 'threats.']"
