ID,Title,DOI,Link,Author,Abstract,Type,Subject,PublishedDate
DOI:10.1038/s41581-020-0305-6,COVID-19: implications for immunosuppression in kidney disease and transplantation,10.1038/s41581-020-0305-6,/articles/s41581-020-0305-6,Andreas Kronbichler,,Comments and Opinion,Nature Reviews Nephrology,2020-05-14
DOI:10.1038/s41422-020-0327-4,COVID-19: towards understanding of pathogenesis,10.1038/s41422-020-0327-4,/articles/s41422-020-0327-4,Wei Cao,,Research Highlights,Cell Research,2020-04-28
DOI:10.1038/s41415-020-1646-z,Why re-invent the wheel if you've run out of road?,10.1038/s41415-020-1646-z,/articles/s41415-020-1646-z,Sara Hurley,"The COVID-19 disruption to 'business as usual' presents an opportunity for a profound change in oral healthcare experience for our patients and our profession. While the prospect of change has dominated professional dialogue for years, the post-COVID-19 era offers choices with respect to pace, proximity, preparedness, protection and equity. There is potential for a determined revision of the current activity-driven clinical approach, with the adoption of the minimally invasive oral care philosophy into routine practice and use of technology to remotely support our patients. Throughout COVID-19, the whole of the dental profession has demonstrated adaptability in redeployment and compassion in delivering care in a variety of settings. These vital traits and bold clinical leadership, prepared to make timely choices and act fast, will underpin our successful transition towards the safe resumption of routine dental services. In making the right choices, we have at hand a future integrated dental team care model with time to concentrate on personalised prevention advice, as well as the provision of effective, highly skilled treatment.",Comments and Opinion,British Dental Journal,2020-05-22
DOI:10.1038/s42256-020-0181-6,Machine Learning for COVID-19 needs global collaboration and data-sharing,10.1038/s42256-020-0181-6,/articles/s42256-020-0181-6,Nathan Peiffer-Smadja,,Comments and Opinion,Nature Machine Intelligence,2020-05-22
DOI:10.1038/s41569-020-0401-0,RAAS inhibitors do not increase the risk of COVID-19,10.1038/s41569-020-0401-0,/articles/s41569-020-0401-0,Irene Fernández-Ruiz,,Research Highlights,Nature Reviews Cardiology,2020-05-22
DOI:10.1038/s42256-020-0185-2,The challenges of deploying artificial intelligence models in a rapidly evolving pandemic,10.1038/s42256-020-0185-2,/articles/s42256-020-0185-2,Yipeng Hu,,Comments and Opinion,Nature Machine Intelligence,2020-05-22
DOI:10.1038/s41366-020-0602-y,Insight into the relationship between obesity-induced low-level chronic inflammation and COVID-19 infection,10.1038/s41366-020-0602-y,/articles/s41366-020-0602-y,Jihye Kim,,Editorial,International Journal of Obesity,2020-05-22
DOI:10.1038/s41591-020-0883-7,Modelling the COVID-19 epidemic and implementation of population-wide interventions in Italy,10.1038/s41591-020-0883-7,/articles/s41591-020-0883-7,Giulia Giordano,"In Italy, 128,948 confirmed cases and 15,887 deaths of people who tested positive for SARS-CoV-2 were registered as of 5 April 2020. Ending the global SARS-CoV-2 pandemic requires implementation of multiple population-wide strategies, including social distancing, testing and contact tracing. We propose a new model that predicts the course of the epidemic to help plan an effective control strategy. The model considers eight stages of infection: susceptible (S), infected (I), diagnosed (D), ailing (A), recognized (R), threatened (T), healed (H) and extinct (E), collectively termed SIDARTHE. Our SIDARTHE model discriminates between infected individuals depending on whether they have been diagnosed and on the severity of their symptoms. The distinction between diagnosed and non-diagnosed individuals is important because the former are typically isolated and hence less likely to spread the infection. This delineation also helps to explain misperceptions of the case fatality rate and of the epidemic spread. We compare simulation results with real data on the COVID-19 epidemic in Italy, and we model possible scenarios of implementation of countermeasures. Our results demonstrate that restrictive social-distancing measures will need to be combined with widespread testing and contact tracing to end the ongoing COVID-19 pandemic.",Research,Nature Medicine,2020-04-22
DOI:10.1038/s41591-020-0824-5,Digital technology and COVID-19,10.1038/s41591-020-0824-5,/articles/s41591-020-0824-5,Daniel Shu Wei Ting,,Comments and Opinion,Nature Medicine,2020-03-27
DOI:10.1038/s41423-020-0450-7,NKG2A and COVID-19: another brick in the wall,10.1038/s41423-020-0450-7,/articles/s41423-020-0450-7,Luca Antonioli,,Comments and Opinion,Cellular & Molecular Immunology,2020-05-07
DOI:10.1038/s41390-020-0937-z,Neonatal emergency transport system during COVID-19 pandemic in the Veneto Region: proposal for standard operating procedures,10.1038/s41390-020-0937-z,/articles/s41390-020-0937-z,Maria Elena Cavicchiolo,,Correspondence,Pediatric Research,2020-05-07
DOI:10.1038/s41409-020-0895-4,"Lessons after the early management of the COVID-19 outbreak in a pediatric transplant and hemato-oncology center embedded within a COVID-19 dedicated hospital in Lombardia, Italy. Estote parati",10.1038/s41409-020-0895-4,/articles/s41409-020-0895-4,Adriana Balduzzi,"Italy is the second exposed country worldwide, after China, and Lombardia is the most affected region in Italy, with more than half of the national cases, with 13% of whom being healthcare professionals. The Clinica Pediatrica Università degli Studi di Milano Bicocca is a general pediatric and hematology oncology and transplant center embedded within the designated COVID-19 general Hospital San Gerardo in Monza, located in Lombardia, Italy. Preventive and control measures specifically undertaken to cope with the emergency within hemato-oncology, transplant, and outpatient unit in the pediatric department have been described. Preliminary COVID-19 experiences with the first Italian pediatric hemato-oncology patients are reported. The few available data regarding pediatrics and specifically hemato-oncological patients are discussed. The purpose of this report is to share pediatric hemato-oncology issues encountered in the first few weeks of the COVID-19 outbreak in Italy and to alert healthcare professionals worldwide to be prepared accordingly.",Reviews,Bone Marrow Transplantation,2020-04-20
DOI:10.1038/s41467-020-16505-0,Immunogenicity of a DNA vaccine candidate for COVID-19,10.1038/s41467-020-16505-0,/articles/s41467-020-16505-0,Trevor R. F. Smith,"The coronavirus family member, SARS-CoV-2 has been identified as the causal agent for the pandemic viral pneumonia disease, COVID-19. At this time, no vaccine is available to control further dissemination of the disease. We have previously engineered a synthetic DNA vaccine targeting the MERS coronavirus Spike (S) protein, the major surface antigen of coronaviruses, which is currently in clinical study. Here we build on this prior experience to generate a synthetic DNA-based vaccine candidate targeting SARS-CoV-2 S protein. The engineered construct, INO-4800, results in robust expression of the S protein in vitro. Following immunization of mice and guinea pigs with INO-4800 we measure antigen-specific T cell responses, functional antibodies which neutralize the SARS-CoV-2 infection and block Spike protein binding to the ACE2 receptor, and biodistribution of SARS-CoV-2 targeting antibodies to the lungs. This preliminary dataset identifies INO-4800 as a potential COVID-19 vaccine candidate, supporting further translational study.",Research,Nature Communications,2020-05-20
