Abstract,DOI,ID,PublishedDate,Source,Title,Type,title_words,abstract_words,abstract_sentences
N/A (Too many requests)EMA advised patients and healthcare professionals to only use chloroquine and hydroxychloroquine medicines for their authorised indications or as part of clinical trials or national emergency use programmes for the treatment of COVID-19. This is to ensure patient safety and the best use of available supplies.,10.1016/j.jns.2020.116832N/A,DOI:10.1016/j.jns.2020.116832N/A,2020-04-111 April,ELSEVIEREMA,Central nervous system manifestations of COVID-19: A systematic reviewPublic-health advice during COVID-19 pandemic,Journal of the Neurological SciencesUpdate,"['central', 'nervous', 'system', 'manifestation', 'covid', '19', 'systematic', 'reviewpublic', 'health', 'advice', 'covid', '19', 'pandemic']","['n', 'many', 'request', 'ema', 'advise', 'patient', 'healthcare', 'professional', 'use', 'chloroquine', 'hydroxychloroquine', 'medicine', 'authorise', 'indication', 'part', 'clinical', 'trial', 'national', 'emergency', 'use', 'programme', 'treatment', 'covid', '19', 'ensure', 'patient', 'safety', 'best', 'use', 'available', 'supply']",
N/A (Too many requests)EMA announced that it has held discussions with developers of around 40 potential treatments and a dozen vaccines against COVID-19. No potential COVID-19 treatments had demonstrated efficacy based on the preliminary data available. EMA welcomes the launch of large clinical trials to test promising treatments and to generate conclusive evidence. Two vaccines had already entered phase I clinical trials. EMA estimated that it might take at least a year before a vaccine is ready for approval and available in sufficient quantities to enable widespread use.,10.1016/j.chest.2020.03.032N/A,DOI:10.1016/j.chest.2020.03.032N/A,2020-03-2631 Match,ELSEVIEREMA,Comparison of Hospitalized Patients With ARDS Caused by COVID-19 and H1N1Treatments and vaccines for COVID-19,ChestUpdate,"['comparison', 'hospitalize', 'patient', 'ards', 'cause', 'covid', '19', 'h1n1treatments', 'vaccine', 'covid', '19']","['n', 'many', 'request', 'ema', 'announce', 'hold', 'discussion', 'developer', 'around', '40', 'potential', 'treatment', 'dozen', 'vaccine', 'covid', '19', 'potential', 'covid', '19', 'treatment', 'demonstrate', 'efficacy', 'base', 'preliminary', 'data', 'available', 'ema', 'welcome', 'launch', 'large', 'clinical', 'trial', 'test', 'promise', 'treatment', 'generate', 'conclusive', 'evidence', 'two', 'vaccine', 'already', 'enter', 'phase', 'clinical', 'trial', 'ema', 'estimate', 'might', 'take', 'least', 'year', 'vaccine', 'ready', 'approval', 'available', 'sufficient', 'quantity', 'enable', 'widespread', 'use']",
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
,,,,,,,N/A,N/A,N/A
