ID,Title,Link,Abstract,PublishedDate,MoreInfoLink
URL:guidance-medicine-developers-companies-covid-19,Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"The European Commission, EMA and the Head of Medicines Agencies provided guidance for sponsors on how they should adjust the management of clinical trials and participants during the COVID-19 pandemic. It covers how to deal with the extraordinary situations the pandemic presents and includes specific advice on clinical trials for COVID-19 treatments.",20 March,Guidance to sponsors on how to manage clinical trials during the COVID-19 pandemic (20/03/2020)
URL:emas-governance-during-covid-19-pandemic,EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA’s first Management Board meeting of 2020 took place virtually and was reduced to one and a half hours to allow EMA and the Member States to continue to focus resources on the response to the pandemic.,20 March,EMA Management Board – highlights of March 2020 meeting (20/03/2020)
URL:guidance-medicine-developers-companies-covid-19,Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,EMA's Committee for Medicinal Products for Human Use (CHMP) urged the EU research community to prioritise large randomised controlled clinical studies as these are most likely to generate the conclusive evidence needed to enable rapid development and approval of potential COVID-19 treatments. They also emphasised the need to include all EU countries in these trials. EMA is currently engaging with stakeholders who can further support the conduct of clinical trials across Europe.,19 March,"Call to pool research resources into large multi-centre, multi-arm clinical trials to generate sound evidence on COVID-19 treatments  (19/03/2020)"
URL:international-coalition-medicines-regulatory-authorities-icmra,International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"The first global regulatory workshop on COVID-19 was convened under the umbrella of the International Coalition of Medicines Regulatory Authorities. Co-chaired by EMA and the US Food and Drug Administration, it brought together delegates from 17 countries and experts from the World Health Organization and the European Commission to discuss the development of vaccines against COVID-19.",18 March,First regulatory workshop on COVID-19 facilitates global collaboration on vaccine development (18/03/2020)
URL:public-health-advice-during-covid-19-pandemic,Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA advised patients and healthcare professionals that there currently no scientific evidence establishing a link between ibuprofen and worsening of COVID 19. However, EMA calls for further studies, which it is ready to support. Patients and healthcare professionals should consider all available options for treating coronavirus symptoms, including paracetamol and NSAIDs, in line with the product information and national guidelines.",18 March,EMA gives advice on the use of non-steroidal anti-inflammatories for COVID-19 (18/03/2020)
URL:emas-governance-during-covid-19-pandemic,EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"EMA announced that it will participate as observer in the European Commission's advisory panel on COVID-19. Chaired by Commission President Ursula von der Leyen and co-chaired by Stella Kyriakides, Commissioner for Health and Food Safety, the panel of European scientific experts will formulate EU guidelines for science-based and coordinated risk-management measures.",18 March, 
URL:emas-governance-during-covid-19-pandemic,EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"As of 16 March 2020, most EMA staff are working remotely. This is expected to last until the end of April 2020.",17 March, 
URL:guidance-medicine-developers-companies-covid-19,Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA provides full fee waivers for scientific advice for potential vaccines and treatments for COVID-19. Developers of potential therapeutics or vaccines against COVID-19 are invited to contact the Agency as soon as possible with information about their proposed development, by emailing 2019-ncov@ema.europa.eu.",13 March,COVID-19: developers of medicines or vaccines to benefit from free scientific advice (13/03/2020)
URL:emas-governance-during-covid-19-pandemic,EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that is holding all its committee and working party meetings virtually until the end of April 2020. Other EMA-hosted stakeholder events will either be held virtually or postponed until later in 2020. EMA has also initiated its business continuity plan for the effective management of the COVID-19 crisis. These measures do not impact EMA’s core activities.,11 March,COVID-19: EMA meetings with delegates and experts will be held virtually until end April 2020 (11/03/2020)
URL:availability-medicines-during-covid-19-pandemic,Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"The European medicines regulatory network has taken measures to monitor the potential impact of the outbreak of COVID-19 on human and veterinary medicine supply chains in the EU. This includes working with pharmaceutical industry associations, companies and manufacturers in the EU to assess the resilience of supply chains.",10 March,Addressing the potential impact of novel coronavirus disease (COVID-19) on medicines supply in the EU (10/03/2020)
URL:guidance-medicine-developers-companies-covid-19,Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA encouraged developers of potential vaccines or treatments for novel coronavirus disease (COVID-19) to make use of the Agency's regulatory mechanisms to speed up development and approval and to contact EMA as soon as possible to discuss their strategy for evidence-generation, by emailing 2019-ncov@ema.europa.eu. EMA has activated its plan for managing emerging health threats.",4 February,EMA to support development of vaccines and treatments for novel coronavirus disease (COVID-19)  (04/02/2020)
