Type,Title,Link,Authors,Abstract,PublishedDate,Availability,lemmas_title,lemmas_abstract
Correspondence,Protective Shield for Intubation,/doi/full/10.1056/NEJMc2007589?query=featured_coronavirus,R. Canelli and Others,A four-sided plexiglass box with access holes for an operator was used to provide additional protection for an operator performing intubation. The box reduced the amount of material expelled from a simulated patient cough that ended up on the operator. This letter is accompanied by a video showing the simulation.,Apr 03,,"['Protective', 'Shield', 'Intubation']","['A', 'four-sided', 'plexiglass', 'box', 'access', 'hole', 'operator', 'use', 'provide', 'additional', 'protection', 'operator', 'perform', 'intubation.', 'The', 'box', 'reduce', 'amount', 'material', 'expel', 'simulate', 'patient', 'cough', 'end', 'operator.', 'This', 'letter', 'accompany', 'video', 'show', 'simulation.']"
Original Article,Covid-19 Outbreak at a Long-Term Care Facility,/doi/full/10.1056/NEJMoa2005412?query=featured_coronavirus,T.M. McMichael and Others,"On February 28, 2020, public health officials in the Seattle area were informed of a Covid-19 infection at a long-term care facility. An investigation identified 167 infected persons associated with the facility, including residents, health care personnel, and visitors; more than a third of the 101 residents identified died.",Mar 27,,"['Covid-19', 'Outbreak', 'Long-Term', 'Care', 'Facility']","['On', 'February', '28,', '2020,', 'public', 'health', 'officials', 'Seattle', 'area', 'inform', 'Covid-19', 'infection', 'long-term', 'care', 'facility.', 'An', 'investigation', 'identify', '167', 'infect', 'persons', 'associate', 'facility,', 'include', 'residents,', 'health', 'care', 'personnel,', 'visitors;', 'third', '101', 'residents', 'identify', 'died.']"
Original Article,First U.S. Confirmed Case of 2019-nCoV Infection,/doi/full/10.1056/NEJMoa2001191?query=featured_coronavirus,M.L. Holshue and Others,"A healthy 35 year-old man who had visited Wuhan, China, presented with cough and fever that progressed to pneumonia. This report describes the diagnosis, clinical course, and management of the condition. The case highlights the importance of close coordination between clinicians and public health authorities at the local, state, and federal levels.",Mar 05,,"['First', 'U.S.', 'Confirmed', 'Case', '2019-nCoV', 'Infection']","['A', 'healthy', '35', 'year-old', 'man', 'visit', 'Wuhan,', 'China,', 'present', 'cough', 'fever', 'progress', 'pneumonia.', 'This', 'report', 'describe', 'diagnosis,', 'clinical', 'course,', 'management', 'condition.', 'The', 'case', 'highlight', 'importance', 'close', 'coordination', 'clinicians', 'public', 'health', 'authorities', 'local,', 'state,', 'federal', 'levels.']"
Original Article,"Covid-19 — Early ICU Experience, Seattle",/doi/full/10.1056/NEJMoa2004500?query=featured_coronavirus,P.K. Bhatraju and Others,"Clinicians and investigators report on the first 24 patients admitted to ICUs from nine Seattle area hospitals. Key aspects of the clinical presentation, treatment, and outcomes are described.",Mar 30,,"['Covid-19', '—', 'Early', 'ICU', 'Experience,', 'Seattle']","['Clinicians', 'investigators', 'report', 'first', '24', 'patients', 'admit', 'ICUs', 'nine', 'Seattle', 'area', 'hospitals.', 'Key', 'aspects', 'clinical', 'presentation,', 'treatment,', 'outcomes', 'described.']"
Original Article,Characteristics of Covid-19 in China,/doi/full/10.1056/NEJMoa2002032,W. Guan and Others,"In this study, researchers describe the clinical characteristics of coronavirus disease 2019 in a selected cohort of 1099 patients with laboratory-confirmed disease throughout mainland China during the first 2 months of the current outbreak.",Feb 28,,"['Characteristics', 'Covid-19', 'China']","['In', 'study,', 'researchers', 'describe', 'clinical', 'characteristics', 'coronavirus', 'disease', '2019', 'select', 'cohort', '1099', 'patients', 'laboratory-confirmed', 'disease', 'throughout', 'mainland', 'China', 'first', '2', 'months', 'current', 'outbreak.']"
Original Article,Early Transmission Dynamics of 2019-nCoV,/doi/full/10.1056/NEJMoa2001316,Q. Li and Others,"The authors provide an epidemiologic analysis of the first 425 confirmed cases of infection with the novel coronavirus in Wuhan, China. This analysis provides estimates of the epidemic doubling time and the basic reproductive number and shows clear evidence of sustained human-to-human transmission.",Mar 26,,"['Early', 'Transmission', 'Dynamics', '2019-nCoV']","['The', 'author', 'provide', 'epidemiologic', 'analysis', 'first', '425', 'confirm', 'case', 'infection', 'novel', 'coronavirus', 'Wuhan,', 'China.', 'This', 'analysis', 'provide', 'estimate', 'epidemic', 'double', 'time', 'basic', 'reproductive', 'number', 'show', 'clear', 'evidence', 'sustain', 'human-to-human', 'transmission.']"
Original Article,A Novel Coronavirus in China,/doi/full/10.1056/NEJMoa2001017,N. Zhu and Others,"The authors report the emergence and isolation of a previously unknown betacoronavirus, the seventh member of the family of coronaviruses that infect humans, in Wuhan, China. Findings in three patients are described.",Feb 20,,"['A', 'Novel', 'Coronavirus', 'China']","['The', 'author', 'report', 'emergence', 'isolation', 'previously', 'unknown', 'betacoronavirus,', 'seventh', 'member', 'family', 'coronaviruses', 'infect', 'humans,', 'Wuhan,', 'China.', 'Findings', 'three', 'patients', 'described.']"
Correspondence,SARS-CoV-2 Infection in Travelers Returning from Wuhan,/doi/full/10.1056/NEJMc2003100,O.-T. Ng and Others,"Data on travelers returning from areas with many cases of Covid-19 may be useful in estimating incidence. The authors report follow-up data on 94 persons who boarded an evacuation flight from Wuhan, China, to Singapore on January 30, 2020.",Mar 12,,"['SARS-CoV-2', 'Infection', 'Travelers', 'Returning', 'Wuhan']","['Data', 'travelers', 'return', 'areas', 'many', 'case', 'Covid-19', 'may', 'useful', 'estimate', 'incidence.', 'The', 'author', 'report', 'follow-up', 'data', '94', 'persons', 'board', 'evacuation', 'flight', 'Wuhan,', 'China,', 'Singapore', 'January', '30,', '2020.']"
Correspondence,"Children with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2003717,W. Liu and Others,"A retrospective analysis of routine surveillance data involving children hospitalized in central Wuhan, China, for acute lower respiratory infection in early January 2020 revealed six cases of Covid-19. The authors report clinical characteristics of the children and laboratory data.",Mar 12,,"['Children', 'Covid-19', 'Wuhan,', 'China']","['A', 'retrospective', 'analysis', 'routine', 'surveillance', 'data', 'involve', 'children', 'hospitalize', 'central', 'Wuhan,', 'China,', 'acute', 'lower', 'respiratory', 'infection', 'early', 'January', '2020', 'reveal', 'six', 'case', 'Covid-19.', 'The', 'author', 'report', 'clinical', 'characteristics', 'children', 'laboratory', 'data.']"
Correspondence,SARS-CoV-2 Infection in Children,/doi/full/10.1056/NEJMc2005073,X. Lu and Others,"In this report, investigators in Wuhan, China, describe the spectrum of Covid-19 illness in children under the age of 16 years. Of 1391 children assessed and tested over a period of 4 weeks, 171 (12.3%) were confirmed to have SARS-CoV-2 infection.",Mar 18,,"['SARS-CoV-2', 'Infection', 'Children']","['In', 'report,', 'investigators', 'Wuhan,', 'China,', 'describe', 'spectrum', 'Covid-19', 'illness', 'children', 'age', '16', 'years.', 'Of', '1391', 'children', 'assess', 'test', 'period', '4', 'weeks,', '171', '(12.3%)', 'confirm', 'SARS-CoV-2', 'infection.']"
Editorial,NEJM Covid-19 Update,https://interactives.nejm.org/iv/playlist_branded/index.html?media_id=chsWAwUH,,Listen to conversations with editors Eric Rubin and Lindsey Baden on the current coronavirus outbreak.,,,"['NEJM', 'Covid-19', 'Update']","['Listen', 'conversations', 'editors', 'Eric', 'Rubin', 'Lindsey', 'Baden', 'current', 'coronavirus', 'outbreak.']"
IMAGES IN CLINICAL MEDICINE,A Sneeze,https://www.nejm.org/doi/full/10.1056/NEJMicm1501197,,This video captures the emission of a sneeze cloud. The largest droplets rapidly settle within 1 to 2 m away from the person. The smaller and evaporating droplets can travel the dimensions of a room and land up to 6 to 8 m away.,,,"['A', 'Sneeze']","['This', 'video', 'capture', 'emission', 'sneeze', 'cloud.', 'The', 'largest', 'droplets', 'rapidly', 'settle', 'within', '1', '2', 'away', 'person.', 'The', 'smaller', 'evaporate', 'droplets', 'travel', 'dimension', 'room', 'land', '6', '8', 'away.']"
IMAGES IN CLINICAL MEDICINE,Coughing and Aerosols,https://www.nejm.org/doi/full/10.1056/NEJMicm072576,,"Sequential schlieren images during a cough, shown in a video, were recorded at 3000 frames per second. A maximum airspeed of 8 m per second (18 mph) was observed, averaged during the half-second cough.",,,"['Coughing', 'Aerosols']","['Sequential', 'schlieren', 'image', 'cough,', 'show', 'video,', 'record', '3000', 'frame', 'per', 'second.', 'A', 'maximum', 'airspeed', '8', 'per', 'second', '(18', 'mph)', 'observed,', 'average', 'half-second', 'cough.']"
NEJM Resident 360,COVID-19 Interactive Case,,,This interactive case presents a new patient with a history characteristic of COVID-19. It explains management of the associated hypoxemia and the laboratory and imaging studies. Test your knowledge and learn more about this disease.,,,"['COVID-19', 'Interactive', 'Case']","['This', 'interactive', 'case', 'present', 'new', 'patient', 'history', 'characteristic', 'COVID-19.', 'It', 'explain', 'management', 'associate', 'hypoxemia', 'laboratory', 'image', 'studies.', 'Test', 'knowledge', 'learn', 'disease.']"
